code,level,processed_code
print '5 times 5 is ' 5 * 5,7,print % times % is % % * % 
print '5 times 5 is ' 5 / 5,7,print % times % is % % / % 
"answer is ask What is 5 plus 5?
if answer is 10
    print 'Well done!'
    print 'Indeed, the answer was ' answer
else
    print 'Oops!'
    print 'The answer is ' answer",7,% is ask % is % % % if % is % print % % print % % % % % % % print % print % % is % % 
print '69 times 69 is' 69 * 69,7,print % times % % % * % 
"repeat 5 times
    print 'Hello Daddy'
    print 'This will be printed 5 times'",7,repeat % times print % % print % % % % % % 
print '5672 times 4987654',7,print % times % 
"answer is ask What is 5 plus 5?
if answer is 10
    print 'Well done!'
    print 'Indeed, the answer was ' answer
else
    if answer is 10
        print 'Well done!'
        print 'Indeed, the answer was ' answer
    else
        print 'Oops!'
        print 'The answer is ' answer",7,% is ask % is % % % if % is % print % % print % % % % % % % if % is % print % % print % % % % % % % print % print % % is % % 
"A is ask 'A?'
B is ask 'B?'
print A * B",7,% is ask % % is ask % print % * % 
"A is ask A
B is ask B
print 'A * B is ' A * B",7,% is ask % % is ask % print % * % is % % * % 
"A is ask A
B is ask B
print '' A",7,% is ask % % is ask % print % % 
"answer is ask What is 5 plus 5?
if answer is 10
    print 'Well done!'
    print 'Indeed, the answer was ' answer
else
    print 'Oops!'
    print 'The answer is not ' answer",7,% is ask % is % % % if % is % print % % print % % % % % % % print % print % % is % % % 
"answer is ask What is 5 plus 5?
if answer is 10
    print 'Well done!'
    print 'Indeed, the answer was ' answer
else
    print 'Oops!'
    print 'The answer is 10 not ' answer",7,% is ask % is % % % if % is % print % % print % % % % % % % print % print % % is % % % % 
"answer is ask What is 5 plus 5?
if answer is 10
    print 'Well done!'
    print 'Indeed, the answer was ' answer
else
    print 'Oops!'
    print 'The answer is 10'",7,% is ask % is % % % if % is % print % % print % % % % % % % print % print % % is % 
"count is 1
repeat 3 times
    if count is 8
        print 'Cool!'
    count is count * 2",7,% is % repeat % times if % is % print % % is % * % 
"count is 1
repeat 3 times
    if count is 4
        print 'Cool!'
    count is count * 2
    print count",7,% is % repeat % times if % is % print % % is % * % print % 
"count is 1
repeat 3 times
    print count
    if count is 4
        print 'Cool!'
    count is count * 2",7,% is % repeat % times print % if % is % print % % is % * % 
"count is 1
repeat 3 times
    print count
    count is count * 2
    if count is 4
        print 'Cool!'",7,% is % repeat % times print % % is % * % if % is % print % 
"name is ask 'What's your name?'
answer is ask What is 5 plus 5?
if answer is 10
    print 'Well done, ' name
    print 'Indeed, the answer was ' answer
else
    print 'Oops!'
    print 'The answer is ' answer",7,% is ask % % % % is ask % is % % % if % is % print % % % % print % % % % % % % print % print % % is % % 
"answer is ask What is 2 times 4?
if answer is 8
    print 'Well done!'
    print 'Indeed, the answer was ' answer
else
    print 'Oops!'
    print 'The answer is the equal of 4+4'",7,% is ask % is % times % if % is % print % % print % % % % % % % print % print % % is % % % % 
"a is 6
print '5 times 5 is ' a * a",7,% is % print % times % is % % * % 
"a is 6
print 'times ' a * a",7,% is % print % % % * % 
"want is 10
got is ask 'What is 5 plus 5 ?'
if got is want
  print 'Yay!'
else
  print 'Oops! Answer is ' want",7,% is % % is ask % is % % % % if % is % print % % print % % is % % 
"want is 10
got is ask What is 5 plus 5 ?
if got is want
  print 'Yay! It is ' got
else
  print 'Oops! You said ' got
  print 'But correct answer is ' want",7,% is % % is ask % is % % % % if % is % print % % is % % % print % % % % % print % % % is % % 
print '5 times 6 is ' 5*6,7,print % times % is % % 
"number is 0
repeat 5 times
    print number
    number is number",7,% is % repeat % times print % % is % 
"repeat 5 times
    print star",7,repeat % times print % 
"greeting is ask How are you?
if greeting is fine
    print 'Great!'
else
    repeat 2 times
        print 'oh no'",7,% is ask % % % if % is % print % % repeat % times print % % 
"counter is 5
repeat counter times
    print 'pretty!'",7,% is % repeat % times print % 
"answer is ask What is 3 / 3?
if answer is ?
    print 'correct'
else
    print 'incorrect'",7,% is ask % is % / % if % is % print % % print % 
"value is ask Enter number between 1-10
if value is 5
    print 'okay'
else
    print 'no'

",7,% is ask % % % % if % is % print % % print % 
"value is ask Enter a number
value is value * 2",7,% is ask % % % % is % * % 
"value is ask Enter a number
value is value * 2
print value",7,% is ask % % % % is % * % print % 
"value is ask Enter a number
value is value * 10
print 'the value of value is ' value",7,% is ask % % % % is % * % print % % % % is % % 
